id,source,target,ingoing_observation_id,outgoing_observation_id
17633,8294,95,3.0,4.0
211,95,8296,7.0,8.0
17638,8296,8299,10.0,18.0
17645,8299,8304,21.0,33.0
17659,8304,8309,34.0,36.0
17674,8309,94,42.0,57.0
208,94,5003,64.0,68.0
10764,5003,238,69.0,73.0
501,238,237,76.0,93.0
497,237,4998,98.0,98.0
10753,4998,236,102.0,104.0
495,236,5108,106.0,107.0
11012,5108,4995,108.0,108.0
10747,4995,235,110.0,118.0
493,235,2957,122.0,122.0
6442,2957,4971,127.0,135.0
10696,4971,4974,137.0,137.0
10703,4974,4969,142.0,144.0
10691,4969,217,146.0,151.0
453,217,96,152.0,153.0
213,96,4955,155.0,155.0
10652,4955,4953,160.0,163.0
10647,4953,218,166.0,167.0
455,218,414,171.0,214.0
870,414,5105,224.0,247.0
11006,5105,82,249.0,255.0
176,82,219,256.0,260.0
457,219,5104,263.0,280.0
11004,5104,5103,282.0,283.0
11003,5103,85,284.0,308.0
185,85,291,309.0,345.0
612,291,6989,349.0,364.0
14904,6989,292,377.0,439.0
614,292,5514,442.0,482.0
11876,5514,5516,,
11881,5516,5515,,
11878,5515,5513,489.0,503.0
11873,5513,79,504.0,504.0
169,79,4992,512.0,535.0
10741,4992,78,536.0,607.0
166,78,4991,613.0,634.0
10739,4991,4990,638.0,641.0
10737,4990,77,642.0,645.0
163,77,4989,653.0,654.0
10735,4989,4988,655.0,665.0
10733,4988,293,666.0,669.0
616,293,7350,,
15643,7350,4983,671.0,672.0
10723,4983,294,675.0,679.0
618,294,4982,681.0,682.0
10721,4982,7333,684.0,685.0
15608,7333,4981,,
10718,4981,4980,689.0,690.0
10716,4980,295,694.0,694.0
620,295,4979,697.0,700.0
10714,4979,4984,701.0,730.0
10725,4984,4986,731.0,732.0
10729,4986,4987,734.0,734.0
10731,4987,4985,737.0,737.0
10727,4985,296,739.0,743.0
622,296,297,744.0,778.0
624,297,6009,779.0,779.0
12911,6009,298,781.0,807.0
626,298,76,808.0,819.0
161,76,299,821.0,900.0
628,299,5093,907.0,923.0
10981,5093,5092,927.0,927.0
10979,5092,271,932.0,939.0
571,271,300,942.0,948.0
630,300,301,950.0,959.0
632,301,302,961.0,968.0
634,302,55,969.0,978.0
109,55,249,979.0,1029.0
525,249,303,1032.0,1049.0
636,303,274,1053.0,1081.0
579,274,4501,1086.0,1114.0
9626,4501,4502,,
9628,4502,122,1117.0,1139.0
273,122,124,1141.0,1146.0
277,124,123,1149.0,1150.0
275,123,72,1153.0,1193.0
150,72,121,1194.0,1210.0
271,121,71,1213.0,1244.0
148,71,120,1248.0,1252.0
269,120,119,1253.0,1258.0
267,119,70,1261.0,1279.0
145,70,118,1286.0,1298.0
265,118,117,1299.0,1306.0
263,117,116,1312.0,1317.0
261,116,115,1325.0,1335.0
259,115,114,1342.0,1388.0
257,114,69,1391.0,1399.0
143,69,113,1403.0,1480.0
255,113,3558,1483.0,1533.0
7668,3558,3579,1538.0,1548.0
7711,3579,4226,1550.0,1550.0
9034,4226,7807,1558.0,1563.0
16614,7807,64,1564.0,1572.0
130,64,109,1573.0,1581.0
246,109,3564,1583.0,1591.0
7681,3564,108,1594.0,1607.0
244,108,110,1608.0,1662.0
248,110,107,1666.0,1681.0
242,107,112,1683.0,1700.0
253,112,111,1702.0,1712.0
250,111,2466,1716.0,1769.0
5434,2466,2473,1771.0,1772.0
5451,2473,2480,1773.0,1773.0
5467,2480,0,1774.0,1774.0
1,0,2475,1776.0,1781.0
5456,2475,2479,1783.0,1783.0
5464,2479,1596,1786.0,1863.0
3588,1596,1646,1866.0,1868.0
3691,1646,990,1875.0,1905.0
2223,990,6230,1909.0,1931.0
13366,6230,349,1937.0,1938.0
737,349,2843,1940.0,1941.0
6193,2843,6233,,
13374,6233,2842,1942.0,1942.0
6192,2842,2841,1943.0,1944.0
6191,2841,2839,1945.0,1945.0
6189,2839,348,,
733,348,2837,,
6187,2837,2833,,
6183,2833,6231,1952.0,1952.0
13370,6231,1667,1954.0,1959.0
3740,1667,2692,1963.0,1977.0
5920,2692,2826,1982.0,1995.0
6173,2826,2825,1998.0,2004.0
6171,2825,2824,2010.0,2011.0
