x_EPSG:4326,y_EPSG:4326,id,geometry,x,y,source,target,link_id
54.963486,56.251545,0,POINT (54.963486 56.251545),373823.43781447015,6235941.279720917,8293,8294,17630
54.963207,56.251553,1,POINT (54.963207 56.251553),373806.1808840254,6235942.68096375,8294,8293,17634
54.96294,56.25156,2,POINT (54.96294 56.25156),373789.6640364236,6235943.949016743,8294,8293,17634
54.962669,56.251583,3,POINT (54.962669 56.251583),373772.9520691143,6235947.004862152,95,8294,212
54.962395,56.251606,4,POINT (54.962395 56.251606),373756.0542819474,6235950.06627096,95,8294,212
54.962116,56.251637,5,POINT (54.962116 56.251637),373738.873119278,6235954.027110449,8296,95,17639
54.961834,56.251667,6,POINT (54.961834 56.251667),373721.5028522621,6235957.882243758,8296,95,17639
54.961548,56.251701,7,POINT (54.961548 56.251701),373703.89799896174,6235962.189881092,95,8296,211
54.961262,56.25174,8,POINT (54.961262 56.25174),373686.30964649556,6235967.053966086,95,8296,211
54.960968,56.251781,9,POINT (54.960968 56.251781),373668.2323456818,6235972.155344524,8296,8299,17638
54.960674,56.251823,10,POINT (54.960674 56.251823),373650.1583797518,6235977.368075016,8299,8296,17646
54.960388,56.251873,11,POINT (54.960388 56.251873),373632.60638816154,6235983.45640696,8299,8296,17646
54.960114,56.251919,12,POINT (54.960114 56.251919),373615.784619993,6235989.077697041,8296,8299,17638
54.959835,56.251965,13,POINT (54.959835 56.251965),373598.653161665,6235994.708228242,8296,8299,17638
54.959557,56.252007,14,POINT (54.959557 56.252007),373581.57050679985,6235999.89189425,8296,8299,17638
54.959282,56.252048,15,POINT (54.959282 56.252048),373564.6704328605,6236004.95884831,8296,8299,17638
54.959011,56.252094,16,POINT (54.959011 56.252094),373548.0346677766,6236010.574901796,8299,8296,17646
54.95874,56.25214,17,POINT (54.95874 56.25214),373531.3989441513,6236016.19102073,8296,8299,17638
54.958466,56.252182,18,POINT (54.958466 56.252182),373514.5642311957,6236021.367613933,8299,8296,17646
54.958191,56.25222,19,POINT (54.958191 56.25222),373497.65441618674,6236026.101011056,8299,8296,17646
54.957916,56.252262,20,POINT (54.957916 56.252262),373480.7578323613,6236031.279575019,8299,8304,17645
54.957638,56.252304,21,POINT (54.957638 56.252304),373463.6754495408,6236036.4637168655,8299,8304,17645
54.957355,56.25235,22,POINT (54.957355 56.25235),373446.296576718,6236042.102212244,8299,8304,17645
54.957077,56.252396,23,POINT (54.957077 56.252396),373429.22747563757,6236047.731592438,8299,8304,17645
54.956799,56.252441,24,POINT (54.956799 56.252441),373412.1551162435,6236053.249766715,8304,8299,17660
54.95652,56.252487,25,POINT (54.95652 56.252487),373395.02415430144,6236058.881122503,8304,8299,17660
54.956238,56.252533,26,POINT (54.956238 56.252533),373377.70739873446,6236064.518061865,8299,8304,17645
54.955952,56.252575,27,POINT (54.955952 56.252575),373360.12969590013,6236069.717326256,8299,8304,17645
